x0000,y0000
1.2839144e-05,4,
1.2869142e-05,5,
1.289914e-05,2,
1.2929138e-05,6,
1.2959136e-05,5,
1.2989134e-05,2,
1.3019132e-05,4,
1.304913e-05,1,
1.3079128e-05,1,
1.3109126e-05,1,
1.3139124e-05,6,
1.3169122e-05,0,
1.319912e-05,4,
1.3229118e-05,6,
