m	lambda (Hz)	Angular frequency (rad/s)	Damping ratio (1)	Quality factor (1)
2.0000	4.3438E10+8.3099E8i	2.7293E11+5.2213E9i	0.019127	26.141
2.0000	4.3473E10+1.1686E9i	2.7315E11+7.3427E9i	0.026872	18.607
2.0000	4.3537E10+7.8486E8i	2.7355E11+4.9314E9i	0.018024	27.740
2.0000	4.3558E10+1.2330E9i	2.7368E11+7.7474E9i	0.028297	17.670
2.0000	4.3589E10+1.4258E9i	2.7388E11+8.9584E9i	0.032692	15.294
2.0000	4.3594E10+8.5644E8i	2.7391E11+5.3812E9i	0.019642	25.456
2.0000	4.3631E10+1.7397E9i	2.7414E11+1.0931E10i	0.039841	12.550
2.0000	4.3633E10+9.0127E8i	2.7415E11+5.6629E9i	0.020651	24.212
2.0000	4.3637E10+7.4893E8i	2.7418E11+4.7056E9i	0.017160	29.137
2.0000	4.3679E10+1.1669E9i	2.7444E11+7.3316E9i	0.026705	18.723
2.0000	4.3722E10+8.3679E8i	2.7471E11+5.2577E9i	0.019135	26.130
2.0000	4.3745E10+1.2505E9i	2.7486E11+7.8570E9i	0.028574	17.498
2.0000	4.3755E10+1.4507E9i	2.7492E11+9.1150E9i	0.033136	15.089
2.0000	4.3768E10+1.6325E9i	2.7500E11+1.0257E10i	0.037273	13.415
2.0000	4.3780E10+8.3602E8i	2.7508E11+5.2529E9i	0.019092	26.188
2.0000	4.3782E10+1.9641E9i	2.7509E11+1.2341E10i	0.044816	11.157
2.0000	4.3816E10+7.8474E8i	2.7530E11+4.9307E9i	0.017907	27.922
2.0000	4.3828E10+3.8616E9i	2.7538E11+2.4263E10i	0.087769	5.6968
2.0000	4.3836E10+5.4235E8i	2.7543E11+3.4077E9i	0.012371	40.416
2.0000	4.3840E10+4.2131E9i	2.7546E11+2.6471E10i	0.095660	5.2269
2.0000	4.3848E10+3.3470E9i	2.7550E11+2.1030E10i	0.076111	6.5694
2.0000	4.3876E10+1.9934E9i	2.7568E11+1.2525E10i	0.045387	11.016
2.0000	4.3879E10+1.0923E9i	2.7570E11+6.8634E9i	0.024887	20.091
2.0000	4.3949E10+5.9127E8i	2.7614E11+3.7151E9i	0.013452	37.169
2.0000	4.3964E10+1.2679E9i	2.7623E11+7.9664E9i	0.028828	17.344
2.0000	4.3973E10+6.3859E8i	2.7629E11+4.0124E9i	0.014521	34.433
2.0000	4.3994E10+9.4247E8i	2.7642E11+5.9217E9i	0.021418	23.345
2.0000	4.4009E10+9.3547E8i	2.7652E11+5.8778E9i	0.021252	23.528
2.0000	4.4017E10+1.7896E9i	2.7657E11+1.1244E10i	0.040623	12.308
2.0000	4.4056E10+4.1981E9i	2.7681E11+2.6377E10i	0.094860	5.2709
2.0000	4.4078E10+2.2514E9i	2.7695E11+1.4146E10i	0.051012	9.8015
2.0000	4.4124E10+8.7023E8i	2.7724E11+5.4678E9i	0.019719	25.357
2.0000	4.4138E10+1.5931E9i	2.7733E11+1.0010E10i	0.036070	13.862
2.0000	4.4164E10+6.9843E8i	2.7749E11+4.3884E9i	0.015812	31.621
2.0000	4.4225E10+8.2953E8i	2.7787E11+5.2121E9i	0.018754	26.661
2.0000	4.4315E10+3.3214E9i	2.7844E11+2.0869E10i	0.074741	6.6897
2.0000	4.4335E10+1.6355E9i	2.7857E11+1.0276E10i	0.036865	13.563
2.0000	4.4352E10+6.0263E8i	2.7867E11+3.7864E9i	0.013586	36.802
2.0000	4.4377E10+3.2973E9i	2.7883E11+2.0717E10i	0.074098	6.7478
2.0000	4.4382E10+1.0086E9i	2.7886E11+6.3374E9i	0.022720	22.007
2.0000	4.4390E10+7.1849E8i	2.7891E11+4.5144E9i	0.016184	30.895
2.0000	4.4407E10+4.1429E8i	2.7902E11+2.6030E9i	0.0093288	53.597
2.0000	4.4410E10+8.9604E8i	2.7903E11+5.6300E9i	0.020172	24.786
2.0000	4.4436E10+1.9701E9i	2.7920E11+1.2379E10i	0.044292	11.289
2.0000	4.4466E10+3.8818E9i	2.7939E11+2.4390E10i	0.086967	5.7493
2.0000	4.4518E10+2.2735E9i	2.7971E11+1.4285E10i	0.051004	9.8032
2.0000	4.4530E10+2.9926E9i	2.7979E11+1.8803E10i	0.067053	7.4567
2.0000	4.4604E10+9.1824E8i	2.8026E11+5.7695E9i	0.020582	24.293
2.0000	4.4623E10+1.3475E9i	2.8038E11+8.4666E9i	0.030184	16.565
2.0000	4.4647E10+5.8964E8i	2.8052E11+3.7048E9i	0.013206	37.862
2.0000	4.4676E10+6.9515E8i	2.8070E11+4.3678E9i	0.015558	32.138
2.0000	4.4689E10+9.8924E8i	2.8079E11+6.2156E9i	0.022131	22.593
2.0000	4.4724E10+1.7260E9i	2.8101E11+1.0845E10i	0.038564	12.965
2.0000	4.4751E10+9.7825E8i	2.8118E11+6.1465E9i	0.021855	22.878
2.0000	4.4816E10+1.1428E9i	2.8159E11+7.1802E9i	0.025491	19.615
2.0000	4.4859E10+2.5258E9i	2.8186E11+1.5870E10i	0.056216	8.8942
2.0000	4.4866E10+6.6946E8i	2.8190E11+4.2063E9i	0.014920	33.513
2.0000	4.4910E10+1.4388E9i	2.8218E11+9.0401E9i	0.032021	15.615
2.0000	4.4923E10+8.7528E8i	2.8226E11+5.4996E9i	0.019481	25.667
2.0000	4.4940E10+1.0496E9i	2.8236E11+6.5947E9i	0.023349	21.414
2.0000	4.4965E10+1.1135E9i	2.8252E11+6.9965E9i	0.024757	20.196
2.0000	4.4991E10+1.5918E9i	2.8269E11+1.0002E10i	0.035359	14.141
2.0000	4.5003E10+8.4688E8i	2.8276E11+5.3211E9i	0.018815	26.574
2.0000	4.5062E10+2.1879E9i	2.8313E11+1.3747E10i	0.048495	10.310
2.0000	4.5088E10+3.0828E9i	2.8329E11+1.9370E10i	0.068215	7.3297
2.0000	4.5096E10+8.1234E8i	2.8334E11+5.1041E9i	0.018011	27.761
2.0000	4.5121E10+4.6177E8i	2.8350E11+2.9014E9i	0.010234	48.859
2.0000	4.5156E10+3.4422E8i	2.8372E11+2.1628E9i	0.0076226	65.595
2.0000	4.5169E10+2.5099E8i	2.8380E11+1.5770E9i	0.0055567	89.981
2.0000	4.5222E10+2.4575E9i	2.8414E11+1.5441E10i	0.054263	9.2144
2.0000	4.5237E10+1.1678E9i	2.8423E11+7.3373E9i	0.025806	19.375
2.0000	4.5288E10+2.8737E9i	2.8455E11+1.8056E10i	0.063327	7.8955
2.0000	4.5296E10+1.7668E9i	2.8460E11+1.1101E10i	0.038975	12.829
2.0000	4.5363E10+1.6889E9i	2.8503E11+1.0612E10i	0.037206	13.439
2.0000	4.5510E10+5.9465E8i	2.8595E11+3.7363E9i	0.013065	38.269
2.0000	4.5514E10+6.6266E8i	2.8598E11+4.1636E9i	0.014558	34.346
2.0000	4.5516E10+1.2485E9i	2.8599E11+7.8445E9i	0.027419	18.235
2.0000	4.5519E10+9.2666E8i	2.8600E11+5.8224E9i	0.020353	24.566
2.0000	4.5580E10+2.2507E9i	2.8639E11+1.4142E10i	0.049320	10.138
2.0000	4.5609E10+1.0685E9i	2.8657E11+6.7137E9i	0.023421	21.348
2.0000	4.5609E10+3.7900E8i	2.8657E11+2.3813E9i	0.0083095	60.172
2.0000	4.5622E10+1.6955E9i	2.8665E11+1.0653E10i	0.037138	13.463
2.0000	4.5637E10+5.4628E8i	2.8675E11+3.4324E9i	0.011969	41.773
2.0000	4.5681E10+3.2903E8i	2.8702E11+2.0674E9i	0.0072026	69.420
2.0000	4.5685E10+2.4134E9i	2.8705E11+1.5164E10i	0.052752	9.4783
2.0000	4.5740E10+7.1601E8i	2.8739E11+4.4988E9i	0.015652	31.945
2.0000	4.5754E10+7.3828E8i	2.8748E11+4.6387E9i	0.016134	30.991
2.0000	4.5777E10+1.4246E9i	2.8763E11+8.9510E9i	0.031105	16.075
2.0000	4.5781E10+4.6194E8i	2.8765E11+2.9025E9i	0.010090	49.556
2.0000	4.5786E10+2.2235E9i	2.8768E11+1.3971E10i	0.048506	10.308
2.0000	4.5819E10+1.1023E9i	2.8789E11+6.9257E9i	0.024050	20.790
2.0000	4.5832E10+5.8917E8i	2.8797E11+3.7018E9i	0.012854	38.899
2.0000	4.5859E10+4.5365E8i	2.8814E11+2.8503E9i	0.0098917	50.547
2.0000	4.5878E10+1.7210E9i	2.8826E11+1.0814E10i	0.037487	13.338
2.0000	4.5932E10+2.4961E9i	2.8860E11+1.5684E10i	0.054264	9.2141
2.0000	4.5991E10+5.4838E8i	2.8897E11+3.4456E9i	0.011923	41.937
2.0000	4.5993E10+8.7759E8i	2.8898E11+5.5140E9i	0.019077	26.209
2.0000	4.6002E10+5.8281E8i	2.8904E11+3.6619E9i	0.012668	39.469
2.0000	4.6044E10+1.3985E9i	2.8931E11+8.7868E9i	0.030358	16.470
2.0000	4.6079E10+9.2786E8i	2.8952E11+5.8299E9i	0.020132	24.836
2.0000	4.6172E10+3.7524E8i	2.9011E11+2.3577E9i	0.0081267	61.525
2.0000	4.6239E10+1.5547E9i	2.9053E11+9.7685E9i	0.033604	14.879
2.0000	4.6259E10+9.4280E8i	2.9066E11+5.9238E9i	0.020377	24.538
2.0000	4.6277E10+1.9064E9i	2.9076E11+1.1978E10i	0.041161	12.148
2.0000	4.6290E10+6.8741E8i	2.9085E11+4.3191E9i	0.014848	33.674
2.0000	4.6302E10+2.7917E9i	2.9093E11+1.7541E10i	0.060184	8.3078
2.0000	4.6326E10+2.1944E9i	2.9107E11+1.3788E10i	0.047316	10.567
2.0000	4.6346E10+1.6986E9i	2.9120E11+1.0672E10i	0.036626	13.652
2.0000	4.6424E10+2.4174E9i	2.9169E11+1.5189E10i	0.052002	9.6150
2.0000	4.6438E10+8.0970E8i	2.9178E11+5.0875E9i	0.017434	28.680
2.0000	4.6445E10+4.1400E8i	2.9182E11+2.6013E9i	0.0089135	56.095
2.0000	4.6522E10+2.1989E9i	2.9230E11+1.3816E10i	0.047213	10.590
2.0000	4.6523E10+8.8424E8i	2.9231E11+5.5558E9i	0.019003	26.312
2.0000	4.6537E10+1.1530E9i	2.9240E11+7.2445E9i	0.024768	20.187
2.0000	4.6619E10+5.7500E8i	2.9292E11+3.6128E9i	0.012333	40.541
2.0000	4.6631E10+3.0978E9i	2.9299E11+1.9464E10i	0.066286	7.5431
2.0000	4.6675E10+7.1813E8i	2.9327E11+4.5121E9i	0.015384	32.501
2.0000	4.6691E10+6.2498E8i	2.9337E11+3.9268E9i	0.013384	37.358
2.0000	4.6723E10+1.6897E9i	2.9357E11+1.0617E10i	0.036141	13.835
2.0000	4.6724E10+1.3878E9i	2.9357E11+8.7200E9i	0.029690	16.841
2.0000	4.6748E10+9.3767E8i	2.9373E11+5.8916E9i	0.020054	24.933
2.0000	4.6758E10+2.5923E9i	2.9379E11+1.6288E10i	0.055356	9.0324
2.0000	4.6794E10+1.9971E9i	2.9401E11+1.2548E10i	0.042641	11.726
2.0000	4.6824E10+4.6479E8i	2.9420E11+2.9204E9i	0.0099259	50.373
2.0000	4.6900E10+6.4198E8i	2.9468E11+4.0337E9i	0.013687	36.531
2.0000	4.6908E10+8.5323E8i	2.9473E11+5.3610E9i	0.018186	27.493
2.0000	4.6974E10+1.1564E9i	2.9515E11+7.2660E9i	0.024611	20.316
2.0000	4.7006E10+2.1619E9i	2.9535E11+1.3584E10i	0.045943	10.883
2.0000	4.7040E10+6.2096E8i	2.9556E11+3.9016E9i	0.013199	37.880
2.0000	4.7045E10+2.2779E9i	2.9559E11+1.4312E10i	0.048363	10.338
2.0000	4.7071E10+1.7897E8i	2.9576E11+1.1245E9i	0.0038020	131.51
2.0000	4.7088E10+4.6897E8i	2.9586E11+2.9466E9i	0.0099591	50.205
2.0000	4.7150E10+1.3692E9i	2.9625E11+8.6029E9i	0.029027	17.225
2.0000	4.7200E10+2.3374E8i	2.9657E11+1.4686E9i	0.0049519	100.97
2.0000	4.7257E10+1.7985E9i	2.9693E11+1.1300E10i	0.038029	13.148
2.0000	4.7264E10+9.7900E8i	2.9697E11+6.1513E9i	0.020709	24.144
2.0000	4.7309E10+2.4676E9i	2.9725E11+1.5504E10i	0.052088	9.5992
2.0000	4.7336E10+1.5212E9i	2.9742E11+9.5578E9i	0.032119	15.567
2.0000	4.7383E10+2.1553E9i	2.9772E11+1.3542E10i	0.045440	11.003
2.0000	4.7429E10+7.9392E8i	2.9801E11+4.9883E9i	0.016737	29.874
2.0000	4.7471E10+8.7967E8i	2.9827E11+5.5271E9i	0.018527	26.987
2.0000	4.7502E10+5.0756E8i	2.9847E11+3.1891E9i	0.010684	46.797
2.0000	4.7505E10+1.1623E9i	2.9848E11+7.3030E9i	0.024460	20.442
2.0000	4.7514E10+3.0793E8i	2.9854E11+1.9348E9i	0.0064807	77.153
2.0000	4.7533E10+6.0183E8i	2.9866E11+3.7814E9i	0.012660	39.494
2.0000	4.7597E10+1.0730E9i	2.9906E11+6.7421E9i	0.022539	22.184
2.0000	4.7604E10+3.5369E8i	2.9910E11+2.2223E9i	0.0074297	67.297
2.0000	4.7608E10+1.6962E9i	2.9913E11+1.0658E10i	0.035607	14.042
2.0000	4.7734E10+2.3074E9i	2.9992E11+1.4498E10i	0.048282	10.356
2.0000	4.7751E10+8.0635E8i	3.0003E11+5.0664E9i	0.016884	29.614
2.0000	4.7763E10+2.2833E9i	3.0010E11+1.4346E10i	0.047750	10.471
2.0000	4.7870E10+2.4962E8i	3.0078E11+1.5684E9i	0.0052144	95.889
2.0000	4.7882E10+5.0952E8i	3.0085E11+3.2014E9i	0.010640	46.991
2.0000	4.7934E10+1.0596E9i	3.0118E11+6.6575E9i	0.022099	22.625
2.0000	4.8008E10+4.9549E8i	3.0164E11+3.1132E9i	0.010320	48.448
2.0000	4.8032E10+4.6065E8i	3.0179E11+2.8944E9i	0.0095901	52.137
2.0000	4.8076E10+4.2749E8i	3.0207E11+2.6860E9i	0.0088917	56.232
2.0000	4.8079E10+4.4411E9i	3.0209E11+2.7904E10i	0.091979	5.4360
2.0000	4.8127E10+1.8497E9i	3.0239E11+1.1622E10i	0.038405	13.019
2.0000	4.8159E10+2.2194E9i	3.0259E11+1.3945E10i	0.046035	10.861
2.0000	4.8210E10+4.2078E8i	3.0291E11+2.6438E9i	0.0087277	57.289
2.0000	4.8235E10+1.9377E9i	3.0307E11+1.2175E10i	0.040139	12.457
2.0000	4.8278E10+1.3847E9i	3.0334E11+8.7001E9i	0.028669	17.440
2.0000	4.8278E10+9.9896E8i	3.0334E11+6.2766E9i	0.020687	24.169
2.0000	4.8302E10+7.6622E8i	3.0349E11+4.8143E9i	0.015861	31.524
2.0000	4.8334E10+1.5904E9i	3.0369E11+9.9926E9i	0.032886	15.204
2.0000	4.8363E10+5.4277E8i	3.0388E11+3.4104E9i	0.011222	44.555
2.0000	4.8397E10+4.9831E8i	3.0409E11+3.1310E9i	0.010296	48.564
2.0000	4.8427E10+3.8637E9i	3.0428E11+2.4276E10i	0.079531	6.2869
2.0000	4.8451E10+4.0092E8i	3.0443E11+2.5191E9i	0.0082745	60.427
2.0000	4.8460E10+2.0922E9i	3.0448E11+1.3145E10i	0.043133	11.592
2.0000	4.8481E10+1.4483E9i	3.0461E11+9.0999E9i	0.029860	16.745
2.0000	4.8528E10+2.1622E8i	3.0491E11+1.3586E9i	0.0044556	112.22
2.0000	4.8571E10+2.4940E9i	3.0518E11+1.5670E10i	0.051280	9.7504
2.0000	4.8625E10+5.1035E9i	3.0552E11+3.2066E10i	0.10438	4.7900
2.0000	4.8658E10+5.5323E8i	3.0573E11+3.4761E9i	0.011369	43.979
2.0000	4.8680E10+6.5289E8i	3.0587E11+4.1022E9i	0.013411	37.284
2.0000	4.8714E10+8.4508E8i	3.0608E11+5.3098E9i	0.017345	28.826
2.0000	4.8770E10+2.5920E8i	3.0643E11+1.6286E9i	0.0053147	94.078
2.0000	4.8819E10+4.9712E8i	3.0674E11+3.1235E9i	0.010182	49.105
2.0000	4.8865E10+6.1399E8i	3.0703E11+3.8578E9i	0.012564	39.796
2.0000	4.8875E10+2.0876E9i	3.0709E11+1.3117E10i	0.042674	11.717
2.0000	4.8908E10+1.0505E9i	3.0730E11+6.6004E9i	0.021474	23.284
2.0000	4.8914E10+3.5001E9i	3.0733E11+2.1992E10i	0.071374	7.0054
2.0000	4.8968E10+2.5531E9i	3.0768E11+1.6042E10i	0.052067	9.6029
2.0000	4.8976E10+1.6199E9i	3.0772E11+1.0178E10i	0.033057	15.125
2.0000	4.8989E10+1.3340E9i	3.0780E11+8.3820E9i	0.027222	18.368
2.0000	4.9065E10+4.5770E9i	3.0828E11+2.8758E10i	0.092883	5.3831
2.0000	4.9068E10+2.8099E8i	3.0831E11+1.7655E9i	0.0057265	87.314
2.0000	4.9128E10+3.0040E8i	3.0868E11+1.8875E9i	0.0061146	81.772
2.0000	4.9146E10+1.9094E9i	3.0879E11+1.1997E10i	0.038822	12.879
2.0000	4.9232E10+9.8263E8i	3.0933E11+6.1740E9i	0.019955	25.056
2.0000	4.9236E10+3.8284E9i	3.0936E11+2.4055E10i	0.077523	6.4497
2.0000	4.9249E10+7.2438E8i	3.0944E11+4.5514E9i	0.014707	33.997
2.0000	4.9267E10+2.8533E8i	3.0955E11+1.7928E9i	0.0057913	86.336
2.0000	4.9286E10+8.1078E8i	3.0967E11+5.0943E9i	0.016448	30.398
2.0000	4.9287E10+4.9163E8i	3.0968E11+3.0890E9i	0.0099744	50.128
2.0000	4.9311E10+2.2970E9i	3.0983E11+1.4433E10i	0.046532	10.745
2.0000	4.9341E10+4.1275E9i	3.1002E11+2.5934E10i	0.083361	5.9980
2.0000	4.9346E10+1.8096E9i	3.1005E11+1.1370E10i	0.036646	13.644
2.0000	4.9373E10+3.3635E8i	3.1022E11+2.1134E9i	0.0068123	73.396
2.0000	4.9392E10+4.6531E8i	3.1034E11+2.9237E9i	0.0094205	53.076
2.0000	4.9410E10+2.8513E9i	3.1045E11+1.7915E10i	0.057610	8.6790
2.0000	4.9505E10+2.0674E9i	3.1105E11+1.2990E10i	0.041724	11.983
2.0000	4.9528E10+3.5392E8i	3.1119E11+2.2238E9i	0.0071458	69.972
2.0000	4.9541E10+1.2834E9i	3.1128E11+8.0640E9i	0.025897	19.307
2.0000	4.9542E10+6.8693E8i	3.1128E11+4.3161E9i	0.013864	36.064
2.0000	4.9551E10+3.1037E9i	3.1134E11+1.9501E10i	0.062513	7.9983
2.0000	4.9583E10+9.7548E8i	3.1154E11+6.1291E9i	0.019670	25.420
2.0000	4.9603E10+9.3668E8i	3.1166E11+5.8853E9i	0.018880	26.483
2.0000	4.9617E10+2.9091E8i	3.1175E11+1.8279E9i	0.0058631	85.279
2.0000	4.9688E10+3.9286E8i	3.1220E11+2.4684E9i	0.0079062	63.241
2.0000	4.9699E10+1.5933E9i	3.1227E11+1.0011E10i	0.032043	15.604
2.0000	4.9714E10+2.4793E9i	3.1236E11+1.5578E10i	0.049810	10.038
2.0000	4.9715E10+5.8740E8i	3.1237E11+3.6907E9i	0.011815	42.320
2.0000	4.9744E10+6.7127E8i	3.1255E11+4.2177E9i	0.013493	37.055
2.0000	4.9762E10+9.7821E8i	3.1267E11+6.1462E9i	0.019654	25.440
2.0000	4.9859E10+1.0887E9i	3.1328E11+6.8403E9i	0.021829	22.905
2.0000	4.9872E10+2.1334E9i	3.1336E11+1.3405E10i	0.042739	11.699
2.0000	4.9875E10+7.3902E8i	3.1337E11+4.6434E9i	0.014816	33.748
2.0000	4.9875E10+3.7695E8i	3.1338E11+2.3684E9i	0.0075576	66.159
2.0000	4.9959E10+3.9340E8i	3.1390E11+2.4718E9i	0.0078743	63.498
2.0000	4.9972E10+1.3928E9i	3.1398E11+8.7514E9i	0.027861	17.946
2.0000	5.0043E10+2.7213E8i	3.1443E11+1.7099E9i	0.0054379	91.948
2.0000	5.0048E10+7.9120E8i	3.1446E11+4.9713E9i	0.015807	31.631
2.0000	5.0103E10+5.9827E8i	3.1480E11+3.7590E9i	0.011940	41.876
2.0000	5.0151E10+3.3482E8i	3.1511E11+2.1038E9i	0.0066762	74.893
2.0000	5.0159E10+4.7702E8i	3.1516E11+2.9972E9i	0.0095097	52.578
2.0000	5.0283E10+2.4205E9i	3.1594E11+1.5208E10i	0.048081	10.399
2.0000	5.0284E10+5.1504E8i	3.1594E11+3.2361E9i	0.010242	48.818
2.0000	5.0301E10+9.1868E8i	3.1605E11+5.7722E9i	0.018261	27.381
2.0000	5.0323E10+1.3918E9i	3.1619E11+8.7451E9i	0.027648	18.085
2.0000	5.0343E10+1.5693E9i	3.1631E11+9.8604E9i	0.031158	16.047
2.0000	5.0363E10+2.9377E9i	3.1644E11+1.8458E10i	0.058230	8.5866
2.0000	5.0389E10+1.4491E9i	3.1661E11+9.1050E9i	0.028746	17.394
2.0000	5.0439E10+6.4806E8i	3.1692E11+4.0719E9i	0.012847	38.918
2.0000	5.0517E10+7.3448E8i	3.1741E11+4.6149E9i	0.014538	34.394
2.0000	5.0522E10+2.1400E9i	3.1744E11+1.3446E10i	0.042320	11.815
2.0000	5.0610E10+3.1213E8i	3.1799E11+1.9611E9i	0.0061672	81.074
2.0000	5.0610E10+1.1023E9i	3.1800E11+6.9259E9i	0.021775	22.962
2.0000	5.0632E10+6.6469E8i	3.1813E11+4.1764E9i	0.013127	38.090
2.0000	5.0666E10+1.0426E9i	3.1834E11+6.5510E9i	0.020574	24.303
2.0000	5.0678E10+4.6714E8i	3.1842E11+2.9351E9i	0.0092173	54.246
2.0000	5.0695E10+3.6844E8i	3.1853E11+2.3150E9i	0.0072675	68.800
2.0000	5.0717E10+2.8970E9i	3.1867E11+1.8202E10i	0.057027	8.7678
2.0000	5.0732E10+3.2212E8i	3.1876E11+2.0239E9i	0.0063493	78.749
2.0000	5.0796E10+5.3662E8i	3.1916E11+3.3717E9i	0.010564	47.333
2.0000	5.0800E10+8.7190E8i	3.1918E11+5.4783E9i	0.017161	29.136
2.0000	5.0815E10+4.4023E8i	3.1928E11+2.7660E9i	0.0086631	57.716
2.0000	5.0913E10+2.0906E9i	3.1990E11+1.3136E10i	0.041028	12.187
2.0000	5.0932E10+1.5901E9i	3.2001E11+9.9910E9i	0.031205	16.023
2.0000	5.0963E10+6.3979E8i	3.2021E11+4.0199E9i	0.012553	39.831
2.0000	5.1020E10+9.4493E8i	3.2057E11+5.9372E9i	0.018518	27.001
2.0000	5.1042E10+3.2447E8i	3.2071E11+2.0387E9i	0.0063567	78.657
2.0000	5.1068E10+7.7741E8i	3.2087E11+4.8846E9i	0.015221	32.849
2.0000	5.1091E10+1.3015E9i	3.2101E11+8.1775E9i	0.025466	19.634
2.0000	5.1149E10+9.1785E8i	3.2138E11+5.7670E9i	0.017942	27.868
2.0000	5.1200E10+2.4130E9i	3.2170E11+1.5161E10i	0.047077	10.621
2.0000	5.1203E10+5.1922E8i	3.2172E11+3.2624E9i	0.010140	49.310
2.0000	5.1233E10+2.8601E8i	3.2191E11+1.7970E9i	0.0055824	89.568
2.0000	5.1309E10+9.0527E8i	3.2238E11+5.6880E9i	0.017641	28.343
2.0000	5.1347E10+5.9129E8i	3.2262E11+3.7152E9i	0.011515	43.422
2.0000	5.1361E10+1.3990E9i	3.2271E11+8.7900E9i	0.027228	18.364
2.0000	5.1382E10+4.5088E8i	3.2285E11+2.8330E9i	0.0087746	56.982
2.0000	5.1406E10+1.0496E9i	3.2299E11+6.5950E9i	0.020414	24.493
2.0000	5.1421E10+2.7614E9i	3.2309E11+1.7350E10i	0.053624	9.3242
2.0000	5.1449E10+1.4950E9i	3.2326E11+9.3935E9i	0.029046	17.214
2.0000	5.1457E10+5.6265E8i	3.2331E11+3.5352E9i	0.010934	45.730
2.0000	5.1474E10+3.3295E8i	3.2342E11+2.0920E9i	0.0064681	77.302
2.0000	5.1505E10+1.4965E9i	3.2362E11+9.4026E9i	0.029043	17.216
2.0000	5.1522E10+2.3336E9i	3.2372E11+1.4662E10i	0.045246	11.051
2.0000	5.1529E10+2.1892E9i	3.2377E11+1.3755E10i	0.042446	11.780
2.0000	5.1531E10+4.2409E8i	3.2378E11+2.6646E9i	0.0082295	60.757
2.0000	5.1582E10+4.9422E8i	3.2410E11+3.1053E9i	0.0095808	52.188
2.0000	5.1588E10+1.0361E9i	3.2414E11+6.5100E9i	0.020080	24.901
2.0000	5.1641E10+9.0037E8i	3.2447E11+5.6572E9i	0.017432	28.682
2.0000	5.1719E10+7.5091E8i	3.2496E11+4.7181E9i	0.014518	34.441
2.0000	5.1751E10+5.2903E8i	3.2516E11+3.3240E9i	0.010222	48.913
2.0000	5.1789E10+4.0525E8i	3.2540E11+2.5463E9i	0.0078248	63.900
2.0000	5.1874E10+1.8243E9i	3.2593E11+1.1462E10i	0.035146	14.226
2.0000	5.1885E10+1.7238E9i	3.2601E11+1.0831E10i	0.033205	15.058
2.0000	5.1895E10+6.7045E8i	3.2606E11+4.2126E9i	0.012918	38.704
2.0000	5.1938E10+4.9265E8i	3.2634E11+3.0954E9i	0.0094850	52.715
2.0000	5.1960E10+2.4054E8i	3.2648E11+1.5114E9i	0.0046293	108.01
2.0000	5.2023E10+8.3583E8i	3.2687E11+5.2517E9i	0.016064	31.125
2.0000	5.2030E10+9.9567E8i	3.2691E11+6.2559E9i	0.019133	26.133
2.0000	5.2054E10+1.2700E9i	3.2706E11+7.9794E9i	0.024390	20.500
2.0000	5.2079E10+1.7189E9i	3.2722E11+1.0800E10i	0.032988	15.157
2.0000	5.2094E10+7.0096E8i	3.2732E11+4.4043E9i	0.013454	37.163
2.0000	5.2120E10+3.2081E8i	3.2748E11+2.0157E9i	0.0061551	81.233
2.0000	5.2237E10+1.1072E9i	3.2822E11+6.9569E9i	0.021191	23.595
2.0000	5.2241E10+6.4719E8i	3.2824E11+4.0664E9i	0.012388	40.363
2.0000	5.2258E10+7.1129E8i	3.2835E11+4.4692E9i	0.013610	36.738
2.0000	5.2288E10+3.6530E8i	3.2854E11+2.2953E9i	0.0069862	71.570
3.0000	4.0086E10+8.8321E8i	2.5187E11+5.5494E9i	0.022027	22.699
3.0000	4.0138E10+1.2297E9i	2.5219E11+7.7261E9i	0.030622	16.328
3.0000	4.0186E10+1.0858E9i	2.5250E11+6.8221E9i	0.027009	18.512
3.0000	4.0241E10+9.2452E8i	2.5284E11+5.8089E9i	0.022968	21.769
3.0000	4.0269E10+9.0533E8i	2.5302E11+5.6884E9i	0.022477	22.245
3.0000	4.0317E10+1.5511E9i	2.5332E11+9.7458E9i	0.038444	13.006
3.0000	4.0358E10+1.0339E9i	2.5358E11+6.4964E9i	0.025610	19.523
3.0000	4.0389E10+9.9255E8i	2.5377E11+6.2364E9i	0.024567	20.352
3.0000	4.0432E10+1.0483E9i	2.5404E11+6.5864E9i	0.025918	19.292
3.0000	4.0510E10+1.9373E9i	2.5453E11+1.2173E10i	0.047769	10.467
3.0000	4.0514E10+2.0052E9i	2.5455E11+1.2599E10i	0.049433	10.115
3.0000	4.0521E10+8.4993E8i	2.5460E11+5.3403E9i	0.020970	23.843
3.0000	4.0525E10+1.4024E9i	2.5463E11+8.8116E9i	0.034585	14.457
3.0000	4.0543E10+7.7517E8i	2.5474E11+4.8705E9i	0.019116	26.156
3.0000	4.0545E10+2.1959E9i	2.5475E11+1.3797E10i	0.054079	9.2457
3.0000	4.0563E10+1.3653E9i	2.5487E11+8.5787E9i	0.033641	14.863
3.0000	4.0573E10+8.8710E8i	2.5493E11+5.5738E9i	0.021859	22.874
3.0000	4.0623E10+1.3272E9i	2.5524E11+8.3388E9i	0.032653	15.313
3.0000	4.0643E10+1.6489E9i	2.5537E11+1.0360E10i	0.040537	12.334
3.0000	4.0669E10+1.0953E9i	2.5553E11+6.8819E9i	0.026922	18.572
3.0000	4.0786E10+1.1273E9i	2.5627E11+7.0829E9i	0.027628	18.097
