#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h55m32s.
#
#Parameters:
#===========
#
#bin width (s): 5.0000000000000001e-09
#record length (s): 8.4875000000000003e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
36	63	53	51	56	55	51	64	37	57	39	45	70	48	48	51	74	48	34	65	56	44	37	68	55	40	42	82	47	47	71	45	50	38	70	59	43	58	44	53	51	39	77	54	68	49	36	57	49	72	75	46	62	34	47	63	59	35	52	55	40	70	39	68	54	51	59	58	35	53	47	22	60	68	43	64	40	63	59	59	64	51	41	63	35	58	61	27	60	46
29	74	48	48	57	49	53	43	43	63	57	59	51	46	46	48	61	45	43	64	51	41	46	68	51	38	48	63	39	36	58	66	46	28	56	45	43	70	34	61	68	48	61	45	55	55	32	82	48	63	44	28	59	73	43	61	52	22	60	51	32	68	42	66	63	41	58	53	38	59	40	24	51	50	37	60	31	81	67	43	60	53	39	65	45	62	42	44	72	43
28	53	49	56	44	51	58	37	27	58	45	39	48	44	51	43	55	34	35	56	46	37	41	55	54	42	28	63	47	32	45	44	38	33	59	44	39	49	41	51	40	48	46	46	49	49	39	52	32	75	44	29	34	50	26	59	59	34	55	54	38	46	36	54	53	25	58	51	32	62	22	32	68	50	28	58	27	59	56	34	51	43	39	62	33	61	42	32	46	45
33	48	50	57	40	53	44	43	36	69	59	48	46	43	48	30	57	43	40	51	46	46	24	51	57	48	28	47	36	32	66	58	28	24	45	42	26	64	38	68	58	40	49	27	55	42	30	61	26	44	44	37	73	40	29	52	46	22	51	47	39	49	36	63	42	36	53	48	30	51	24	28	50	37	37	53	32	67	47	28	53	47	35	49	37	42	53	41	43	42
31	49	34	44	32	58	38	27	31	48	39	47	44	37	43	34	38	35	38	46	38	41	28	54	41	28	27	49	32	34	44	46	33	31	44	48	57	43	31	40	50	32	39	32	49	39	38	49	24	44	44	28	50	44	32	59	40	38	54	39	22	44	32	53	48	26	51	41	23	50	32	27	50	42	22	42	26	56	38	27	43	59	34	46	22	42	50	23	45	34
21	50	40	40	37	44	40	36	26	57	48	30	43	44	30	29	47	40	27	46	34	24	31	57	43	28	37	41	32	25	58	45	24	21	42	40	35	38	32	58	34	31	36	27	42	40	24	40	28	44	44	13	40	29	30	46	46	19	47	32	35	40	20	42	41	30	48	36	27	43	28	27	37	51	30	42	30	47	51	22	47	41	27	55	29	53	35	29	42	49
20	34	40	32	25	38	41	31	36	45	47	24	37	44	34	44	43	38	21	38	48	28	25	41	33	27	19	49	34	25	46	37	31	26	48	39	26	43	30	50	34	22	37	30	39	39	26	44	24	44	48	24	44	29	33	40	37	28	39	38	27	47	31	48	44	28	41	42	32	51	27	21	42	45	26	45	18	38	37	23	59	37	26	49	36	50	30	20	34	30
23	40	34	37	35	40	43	26	23	33	30	37	44	43	29	29	28	27	30	34	41	31	20	43	32	37	25	46	25	26	45	40	21	20	40	33	33	38	24	34	43	28	45	33	40	32	31	35	27	44	29	22	29	43	24	46	46	29	32	35	22	37	18	41	40	31	36	32	13	43	27	21	51	46	31	45	22	51	39	21	41	26	19	45	19	35	36	29	49	38
13	40	30	25	27	41	30	36	19	36	24	28	44	44	44	23	31	21	23	48	33	25	19	33	30	19	15	47	25	26	37	32	26	19	39	30	29	43	30	34	32	22	34	29	39	33	23	47	28	48	29	24	29	34	18	37	31	21	38	31	30	37	24	44	26	24	42	27	24	35	21	18	45	31	29	32	25	37	37	14	37	36	26	37	24	30	32	20	30	43
23	34	23	35	29	43	45	23	29	38	37	27	43	29	29	20	41	30	27	41	37	20	26	32	38	25	26	42	26	29	40	36	20	26	33	27	21	36	29	43	36	14	29	26	32	32	16	29	18	29	27	25	43	28	22	46	24	19	35	42	24	37	22	40	34	21	32	39	25	31	21	15	46	33	17	32	24	39	30	16	26	34	20	36	20	36	30	24	38	29
