time(ps)	counts
3300000	1381
3305000	1358
3310000	1377
3315000	1384
3320000	1387
3325000	1437
3330000	1367
3335000	1395
3340000	1323
3345000	1374
3350000	1392
3355000	1390
3360000	1386
3365000	1401
3370000	1423
3375000	1379
3380000	1438
3385000	1407
3390000	1379
3395000	1426
3400000	1382
3405000	1363
3410000	1284
3415000	1432
3420000	1379
3425000	1316
3430000	1441
3435000	1368
3440000	1373
3445000	1343
3450000	1466
3455000	1399
3460000	1435
3465000	1395
3470000	1312
3475000	1322
3480000	1374
3485000	1409
3490000	1317
3495000	1362
3500000	1363
3505000	1415
3510000	1514
3515000	1491
3520000	1502
3525000	1427
3530000	1487
3535000	1384
3540000	1485
3545000	1355
3550000	1403
3555000	1422
3560000	1443
3565000	1376
3570000	1397
3575000	1406
3580000	1434
3585000	1436
3590000	1425
3595000	1441
3600000	1386
3605000	1381
3610000	1396
3615000	1408
3620000	1370
3625000	1341
3630000	1334
3635000	1362
3640000	1372
3645000	1362
3650000	1371
3655000	1401
3660000	1342
3665000	1446
3670000	1420
3675000	1444
3680000	1388
3685000	1340
3690000	1318
3695000	1381
3700000	1359
3705000	1418
3710000	1422
3715000	1353
3720000	1365
3725000	1325
3730000	1300
3735000	1357
3740000	1360
3745000	1407
3750000	1331
3755000	1341
3760000	1432
3765000	1345
3770000	1390
3775000	1364
3780000	1362
3785000	1271
3790000	1414
3795000	1332
3800000	1338
3805000	1346
3810000	1344
3815000	1414
3820000	1416
3825000	1373
3830000	1335
3835000	1390
3840000	1365
3845000	1362
3850000	1326
3855000	1362
3860000	1377
3865000	1345
3870000	1301
3875000	1390
3880000	1327
3885000	1328
3890000	1443
3895000	1458
3900000	1394
3905000	1391
3910000	1392
3915000	1325
3920000	1365
3925000	1383
3930000	1402
3935000	1330
3940000	1372
3945000	1403
3950000	1373
3955000	1430
3960000	1402
3965000	1402
3970000	1447
3975000	1388
3980000	1456
3985000	1345
3990000	1307
3995000	1421
4000000	1395
4005000	1331
4010000	1392
4015000	1378
4020000	1344
4025000	1394
4030000	1364
4035000	1396
4040000	1374
4045000	1441
4050000	1417
4055000	1336
4060000	1369
4065000	1440
4070000	1388
4075000	1360
4080000	1390
4085000	1329
4090000	1388
4095000	1387
4100000	1380
4105000	1388
4110000	1315
4115000	1345
4120000	1320
4125000	1391
4130000	1383
4135000	1352
4140000	1342
4145000	1451
4150000	1422
4155000	1334
4160000	1391
4165000	1407
4170000	1423
4175000	1441
4180000	1359
4185000	1372
4190000	1433
4195000	1423
4200000	1322
4205000	1420
4210000	1393
4215000	1333
4220000	1383
4225000	1341
4230000	1335
4235000	1356
4240000	1349
4245000	1381
4250000	1399
4255000	1329
4260000	1328
4265000	1351
4270000	1374
4275000	1363
4280000	1363
4285000	1361
4290000	1402
4295000	1386
4300000	1422
4305000	1414
4310000	1383
4315000	1302
4320000	1392
4325000	1359
4330000	1441
4335000	1376
4340000	1311
4345000	1446
4350000	1451
4355000	1374
4360000	1393
4365000	1345
4370000	1424
4375000	1352
4380000	1386
4385000	1372
4390000	1341
4395000	1368
4400000	1353
4405000	1431
4410000	1421
4415000	1285
4420000	1367
4425000	1295
4430000	1418
4435000	1323
4440000	1380
4445000	1323
4450000	1371
4455000	1316
4460000	1325
4465000	1421
4470000	1384
4475000	1378
4480000	1407
4485000	1390
4490000	1366
4495000	1369
4500000	1357
4505000	1389
4510000	1294
4515000	1366
4520000	1385
4525000	1401
4530000	1351
4535000	1260
4540000	1323
4545000	1363
4550000	1411
4555000	1326
4560000	1350
4565000	1339
4570000	1394
4575000	1350
4580000	1340
4585000	1307
4590000	1404
4595000	1353
4600000	1358
4605000	1376
4610000	1337
4615000	1429
4620000	1356
4625000	1396
4630000	1361
4635000	1354
4640000	1362
4645000	1382
4650000	1341
4655000	1343
4660000	1356
4665000	1336
4670000	1405
4675000	1426
4680000	1304
4685000	1406
4690000	1408
4695000	1401
4700000	1433
4705000	1336
4710000	1365
4715000	1406
4720000	1370
4725000	1390
4730000	1345
4735000	1485
4740000	1350
4745000	1356
4750000	1412
4755000	1444
4760000	1392
4765000	1297
4770000	1342
4775000	1426
4780000	1341
4785000	1346
4790000	1419
4795000	1369
4800000	1314
4805000	1329
4810000	1424
4815000	1356
4820000	1363
4825000	1343
4830000	1282
4835000	1476
4840000	1357
4845000	1361
4850000	1349
4855000	1426
4860000	1389
4865000	1359
4870000	1327
4875000	1397
4880000	1379
4885000	1388
4890000	1406
4895000	1365
4900000	1323
4905000	1336
4910000	1367
4915000	1387
4920000	1345
4925000	1352
4930000	1370
4935000	1368
4940000	1362
4945000	1371
4950000	1371
4955000	1336
4960000	1401
4965000	1331
4970000	1334
4975000	1397
4980000	1361
4985000	1345
4990000	1390
4995000	1309
5000000	1378
5005000	1393
5010000	1332
5015000	1382
5020000	1321
5025000	1421
5030000	1399
5035000	1395
5040000	1365
5045000	1381
5050000	1340
5055000	1340
5060000	1373
5065000	1412
5070000	1332
5075000	1387
5080000	1407
5085000	1385
5090000	1413
5095000	1314
5100000	1380
5105000	1409
5110000	1356
5115000	1338
5120000	1402
5125000	1379
5130000	1400
5135000	1371
5140000	1432
5145000	1399
5150000	1441
5155000	1384
5160000	1410
5165000	1347
5170000	1458
5175000	1414
5180000	1358
5185000	1432
5190000	1366
5195000	1365
5200000	1381
5205000	1346
5210000	1318
5215000	1397
5220000	1369
5225000	1379
5230000	1338
5235000	1379
5240000	1419
5245000	1371
5250000	1346
5255000	1370
5260000	1385
5265000	1323
5270000	1319
5275000	1362
5280000	1399
5285000	1336
5290000	1316
5295000	1387
5300000	1333
5305000	1348
5310000	1337
5315000	1315
5320000	1395
5325000	1402
5330000	1363
5335000	1374
5340000	1381
5345000	1364
5350000	1396
5355000	1342
5360000	1364
5365000	1349
5370000	1358
5375000	1376
5380000	1340
5385000	1387
5390000	1455
5395000	1294
5400000	1350
5405000	1346
5410000	1377
5415000	1361
5420000	1429
5425000	1382
5430000	1358
5435000	1308
5440000	1370
5445000	1386
5450000	1385
5455000	1381
5460000	1399
5465000	1379
5470000	1332
5475000	1363
5480000	1387
5485000	1431
5490000	1340
5495000	1403
5500000	1353
5505000	1429
5510000	1381
5515000	1300
5520000	1309
5525000	1283
5530000	1438
5535000	1422
5540000	1324
5545000	1336
5550000	1373
5555000	1340
5560000	1345
5565000	1397
5570000	1436
5575000	1387
5580000	1367
5585000	1362
5590000	1354
5595000	1371
5600000	1390
5605000	1462
5610000	1486
5615000	1476
5620000	1537
5625000	1509
5630000	1401
5635000	1378
5640000	1364
5645000	1417
5650000	1336
5655000	1379
5660000	1530
5665000	1430
5670000	1395
5675000	1408
5680000	1388
5685000	1334
5690000	1353
5695000	1431
5700000	1365
5705000	1367
5710000	1373
5715000	1343
5720000	1385
5725000	1384
5730000	1339
5735000	1424
5740000	1348
5745000	1371
5750000	1401
5755000	1328
5760000	1342
5765000	1363
5770000	1363
5775000	1332
5780000	1350
5785000	1399
5790000	1381
5795000	1350
5800000	1379
5805000	1453
5810000	1430
5815000	1389
5820000	1360
5825000	1281
5830000	1412
5835000	1397
5840000	1343
5845000	1297
5850000	1375
5855000	1338
5860000	1385
5865000	1380
5870000	1411
5875000	1378
5880000	1398
5885000	1384
5890000	1330
5895000	1435
5900000	1386
5905000	1359
5910000	1411
5915000	1393
5920000	1371
5925000	1299
5930000	1370
5935000	1426
5940000	1364
5945000	1437
5950000	1453
5955000	1322
5960000	1361
5965000	1376
5970000	1349
5975000	1380
5980000	1450
5985000	1372
5990000	1386
5995000	1325
6000000	1337
6005000	1420
6010000	1322
6015000	1402
6020000	1390
6025000	1337
6030000	1356
6035000	1380
6040000	1329
6045000	1360
6050000	1351
6055000	1290
6060000	1366
6065000	1348
6070000	1392
6075000	1358
6080000	1374
6085000	1505
6090000	1487
6095000	1528
6100000	1527
6105000	1451
6110000	1474
6115000	1420
6120000	1511
6125000	1478
6130000	1500
6135000	1421
6140000	1424
6145000	1398
6150000	1415
6155000	1360
6160000	1428
6165000	1396
6170000	1363
6175000	1424
6180000	1398
6185000	1412
6190000	1400
6195000	1415
6200000	1272
6205000	1422
6210000	1466
6215000	1377
6220000	1353
6225000	1398
6230000	1412
6235000	1374
6240000	1373
6245000	1390
6250000	1342
6255000	1428
6260000	1399
6265000	1314
6270000	1423
6275000	1365
6280000	1384
6285000	1440
6290000	1369
6295000	1401
6300000	1366
6305000	1422
6310000	1368
6315000	1328
6320000	1339
6325000	1447
6330000	1395
6335000	1332
6340000	1350
6345000	1366
6350000	1321
6355000	1329
6360000	1410
6365000	1383
6370000	1367
6375000	1367
6380000	1365
6385000	1330
6390000	1364
6395000	1307
6400000	1361
6405000	1400
6410000	1358
6415000	1406
6420000	1314
6425000	1369
6430000	1350
6435000	1394
6440000	1430
6445000	1422
6450000	1362
6455000	1380
6460000	1372
6465000	1343
6470000	1318
6475000	1316
6480000	1293
6485000	1403
6490000	1404
6495000	1368
6500000	1431
6505000	1365
6510000	1346
6515000	1376
6520000	1309
6525000	1413
6530000	1376
6535000	1388
6540000	1334
6545000	1369
6550000	1329
6555000	1393
6560000	1398
6565000	1314
6570000	1367
6575000	1324
6580000	1387
6585000	1482
6590000	1576
6595000	1583
6600000	1562
6605000	1502
6610000	1514
6615000	1472
6620000	1485
6625000	1414
6630000	1469
6635000	1437
6640000	1446
6645000	1401
6650000	1410
6655000	1446
6660000	1414
6665000	1387
6670000	1401
6675000	1432
6680000	1405
6685000	1330
6690000	1367
6695000	1414
6700000	1285
6705000	1399
6710000	1330
6715000	1393
6720000	1343
6725000	1416
6730000	1404
6735000	1379
6740000	1390
6745000	1434
6750000	1257
6755000	1413
6760000	1402
6765000	1321
6770000	1362
6775000	1337
6780000	1399
6785000	1316
6790000	1354
6795000	1392
6800000	1360
6805000	1375
6810000	1319
6815000	1433
6820000	1367
6825000	1354
6830000	1356
6835000	1358
6840000	1420
6845000	1374
6850000	1326
6855000	1340
6860000	1393
6865000	1347
6870000	1389
6875000	1364
6880000	1401
6885000	1344
6890000	1393
6895000	1389
6900000	1348
6905000	1296
6910000	1388
6915000	1408
6920000	1386
6925000	1367
6930000	1349
6935000	1370
6940000	1377
6945000	1377
6950000	1397
6955000	1279
6960000	1344
6965000	1340
6970000	1342
6975000	1378
6980000	1399
6985000	1438
6990000	1369
6995000	1382
7000000	1408
7005000	1373
7010000	1378
7015000	1344
7020000	1432
7025000	1421
7030000	1360
7035000	1341
7040000	1352
7045000	1403
7050000	1385
7055000	1407
7060000	1387
7065000	1405
7070000	1422
7075000	1355
7080000	1399
7085000	1408
7090000	1404
7095000	1378
7100000	1339
7105000	1439
7110000	1579
7115000	1626
7120000	1506
7125000	1594
7130000	1529
7135000	1477
7140000	1527
7145000	1450
7150000	1478
7155000	1466
7160000	1441
7165000	1485
7170000	1449
7175000	1466
7180000	1474
7185000	1428
7190000	1364
7195000	1423
7200000	1459
7205000	1467
7210000	1403
7215000	1430
7220000	1343
7225000	1449
7230000	1422
7235000	1356
7240000	1441
7245000	1340
7250000	1367
7255000	1363
7260000	1450
7265000	1407
7270000	1364
7275000	1413
7280000	1372
7285000	1457
7290000	1364
7295000	1344
7300000	1382
7305000	1428
7310000	1341
7315000	1427
7320000	1408
7325000	1345
7330000	1432
7335000	1377
7340000	1346
7345000	1401
7350000	1398
7355000	1422
7360000	1339
7365000	1415
7370000	1314
7375000	1409
7380000	1340
7385000	1363
7390000	1367
7395000	1402
7400000	1347
7405000	1389
7410000	1351
7415000	1381
7420000	1379
7425000	1345
7430000	1409
7435000	1383
7440000	1394
7445000	1421
7450000	1396
7455000	1381
7460000	1369
7465000	1391
7470000	1292
7475000	1343
7480000	1409
7485000	1337
7490000	1393
7495000	1481
7500000	1424
7505000	1452
7510000	1360
7515000	1396
7520000	1346
7525000	1310
7530000	1422
7535000	1379
7540000	1402
7545000	1430
7550000	1353
7555000	1406
7560000	1369
7565000	1375
7570000	1355
7575000	1367
7580000	1387
7585000	1460
7590000	1345
7595000	1422
7600000	1384
7605000	1320
7610000	1334
7615000	1316
7620000	1340
7625000	1422
7630000	1355
7635000	1329
7640000	1344
7645000	1432
7650000	1519
7655000	1540
7660000	1568
7665000	1565
7670000	1523
7675000	1521
7680000	1512
7685000	1499
7690000	1494
7695000	1375
7700000	1485
7705000	1443
7710000	1418
7715000	1375
7720000	1447
7725000	1446
7730000	1381
7735000	1391
7740000	1380
7745000	1357
7750000	1417
7755000	1378
7760000	1433
7765000	1417
7770000	1360
7775000	1429
7780000	1467
7785000	1382
7790000	1427
7795000	1357
7800000	1332
7805000	1386
7810000	1369
7815000	1409
7820000	1385
7825000	1378
7830000	1402
7835000	1431
7840000	1325
7845000	1368
7850000	1318
7855000	1376
7860000	1404
7865000	1385
7870000	1321
7875000	1294
7880000	1398
7885000	1293
7890000	1369
7895000	1357
7900000	1313
7905000	1429
7910000	1321
7915000	1355
7920000	1341
7925000	1332
7930000	1337
7935000	1375
7940000	1320
7945000	1388
7950000	1309
7955000	1413
7960000	1376
7965000	1344
7970000	1365
7975000	1356
7980000	1377
7985000	1378
7990000	1432
7995000	1322
8000000	1386
8005000	1362
8010000	1330
8015000	1303
8020000	1396
8025000	1409
8030000	1343
8035000	1341
8040000	1352
8045000	1392
8050000	1382
8055000	1382
8060000	1316
8065000	1328
8070000	1384
8075000	1367
8080000	1408
8085000	1344
8090000	1364
8095000	1389
8100000	1412
8105000	1470
8110000	1384
8115000	1353
8120000	1395
8125000	1350
8130000	1385
8135000	1364
8140000	1318
8145000	1346
8150000	1369
8155000	1339
8160000	1350
8165000	1376
8170000	1327
8175000	1378
8180000	1338
8185000	1308
8190000	1428
8195000	1370
8200000	1327
8205000	1491
8210000	1525
8215000	1489
8220000	1482
8225000	1468
8230000	1538
8235000	1439
8240000	1472
8245000	1441
8250000	1448
8255000	1444
8260000	1418
8265000	1383
8270000	1447
8275000	1356
8280000	1401
8285000	1413
8290000	1351
