#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h20m08s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:19min:45s
#Stop Time (s): 22.11.2022 14h:20min:08s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
8.429039955139e+00	7.000000000000e+02	7.370754047663e+02
8.449585199356e+00	6.500000000000e+02	7.370754102567e+02
8.469084739685e+00	6.500000000000e+02	7.370754165008e+02
8.488979101181e+00	9.500000000000e+02	7.370754187095e+02
8.508894443512e+00	8.500000000000e+02	7.370754187095e+02
8.528482198715e+00	4.500000000000e+02	7.370754187095e+02
8.549091339111e+00	5.000000000000e+02	7.370754280137e+02
8.569196939468e+00	4.500000000000e+02	7.370754367590e+02
8.589096069336e+00	9.000000000000e+02	7.370754424339e+02
8.608930110931e+00	7.000000000000e+02	7.370754452815e+02
8.629051923752e+00	9.500000000000e+02	7.370754452815e+02
8.648931741714e+00	1.250000000000e+03	7.370754506480e+02
8.669244289398e+00	1.200000000000e+03	7.370754565900e+02
8.690206527710e+00	1.100000000000e+03	7.370754629127e+02
8.709165334702e+00	1.250000000000e+03	7.370754635142e+02
8.729068756104e+00	7.000000000000e+02	7.370754659650e+02
8.749861001968e+00	7.500000000000e+02	7.370754711642e+02
8.769804000854e+00	1.050000000000e+03	7.370754772445e+02
8.789746761322e+00	1.200000000000e+03	7.370754828106e+02
8.808291196823e+00	1.150000000000e+03	7.370754828106e+02
8.829055786133e+00	1.400000000000e+03	7.370754868249e+02
8.849032878876e+00	9.000000000000e+02	7.370754935174e+02
8.868979692459e+00	9.500000000000e+02	7.370755000710e+02
8.889753341675e+00	1.700000000000e+03	7.370755030201e+02
8.908554792404e+00	1.000000000000e+03	7.370755030201e+02
8.929101228714e+00	1.100000000000e+03	7.370755103360e+02
8.949093341827e+00	1.100000000000e+03	7.370755170009e+02
8.969044208527e+00	1.200000000000e+03	7.370755232451e+02
8.989243984222e+00	1.000000000000e+03	7.370755297169e+02
9.008322477341e+00	1.000000000000e+03	7.370755342450e+02
9.029093503952e+00	1.150000000000e+03	7.370755342450e+02
9.048970460892e+00	1.000000000000e+03	7.370755392416e+02
9.069783687592e+00	9.500000000000e+02	7.370755460003e+02
9.088860273361e+00	1.150000000000e+03	7.370755525368e+02
9.109252214432e+00	1.550000000000e+03	7.370755552714e+02
9.129813432693e+00	1.250000000000e+03	7.370755552714e+02
9.149095296860e+00	1.200000000000e+03	7.370755620610e+02
9.169094085693e+00	1.050000000000e+03	7.370755684649e+02
9.189751625061e+00	9.000000000000e+02	7.370755745495e+02
9.208693504333e+00	7.500000000000e+02	7.370755757329e+02
9.229197025299e+00	1.200000000000e+03	7.370755785614e+02
9.248584747314e+00	1.150000000000e+03	7.370755854142e+02
9.268985271454e+00	1.950000000000e+03	7.370755920020e+02
9.289042949677e+00	1.100000000000e+03	7.370755960965e+02
9.311336755753e+00	1.250000000000e+03	7.370755960965e+02
9.329102516174e+00	1.200000000000e+03	7.370756014011e+02
9.348938226700e+00	1.400000000000e+03	7.370756077102e+02
9.369048357010e+00	7.000000000000e+02	7.370756141840e+02
9.389211654663e+00	8.500000000000e+02	7.370756158219e+02
9.408509016037e+00	7.000000000000e+02	7.370756170339e+02
9.429028272629e+00	0.000000000000e+00	7.370756232688e+02
9.448873996735e+00	0.000000000000e+00	7.370756287501e+02
9.469180583954e+00	0.000000000000e+00	7.370756340511e+02
9.489120721817e+00	5.000000000000e+01	7.370756345718e+02
9.508953094482e+00	1.050000000000e+03	7.370756374433e+02
9.529097795486e+00	9.000000000000e+02	7.370756423115e+02
9.548782587051e+00	9.000000000000e+02	7.370756497923e+02
9.568855762482e+00	6.500000000000e+02	7.370756577240e+02
9.588802337646e+00	4.000000000000e+02	7.370756634149e+02
9.608748912811e+00	5.500000000000e+02	7.370756679635e+02
9.629096984863e+00	8.000000000000e+02	7.370756723123e+02
9.648742675781e+00	4.500000000000e+02	7.370756736854e+02
9.668986558914e+00	4.000000000000e+02	7.370756744893e+02
9.689083814621e+00	8.000000000000e+02	7.370756815398e+02
9.708443641663e+00	4.000000000000e+02	7.370756879398e+02
9.729851961136e+00	6.000000000000e+02	7.370756946643e+02
9.749034643173e+00	3.500000000000e+02	7.370756952897e+02
9.769061088562e+00	7.000000000000e+02	7.370756984550e+02
9.788977384567e+00	7.500000000000e+02	7.370757045382e+02
9.809280157089e+00	6.000000000000e+02	7.370757113975e+02
9.828349351883e+00	5.000000000000e+02	7.370757151444e+02
9.848721981049e+00	5.000000000000e+02	7.370757151444e+02
9.868498802185e+00	4.500000000000e+02	7.370757207371e+02
9.889077186584e+00	4.000000000000e+02	7.370757271629e+02
9.909636020660e+00	3.000000000000e+02	7.370757345091e+02
9.928615331650e+00	5.500000000000e+02	7.370757345091e+02
9.948556184769e+00	6.500000000000e+02	7.370757375377e+02
9.968786001205e+00	3.500000000000e+02	7.370757436862e+02
9.988948822021e+00	6.000000000000e+02	7.370757495773e+02
1.000916934013e+01	2.500000000000e+02	7.370757542876e+02
1.002897095680e+01	3.500000000000e+02	7.370757542876e+02
1.004882431030e+01	1.500000000000e+02	7.370757588378e+02
1.006880664825e+01	3.500000000000e+02	7.370757654538e+02
1.008909749985e+01	3.500000000000e+02	7.370757715287e+02
1.010917806625e+01	4.000000000000e+02	7.370757741688e+02
1.012901592255e+01	2.500000000000e+02	7.370757746850e+02
1.014907336235e+01	3.500000000000e+02	7.370757805804e+02
1.016904640198e+01	1.000000000000e+02	7.370757863255e+02
1.018918347359e+01	5.000000000000e+01	7.370757920036e+02
1.020912456512e+01	3.500000000000e+02	7.370757931273e+02
1.022907209396e+01	2.000000000000e+02	7.370757963196e+02
1.024906015396e+01	1.000000000000e+02	7.370758027320e+02
1.026889824867e+01	6.000000000000e+02	7.370758089988e+02
1.028884482384e+01	3.000000000000e+02	7.370758154473e+02
1.030879116058e+01	2.000000000000e+02	7.370758221157e+02
1.032909727097e+01	0.000000000000e+00	7.370758227752e+02
1.034908843040e+01	4.000000000000e+02	7.370758244572e+02
1.036907482147e+01	4.000000000000e+02	7.370758312676e+02
1.038909864426e+01	2.000000000000e+02	7.370758376085e+02
1.040907192230e+01	2.000000000000e+02	7.370758422418e+02
1.042934536934e+01	1.500000000000e+02	7.370758422418e+02
1.044943094254e+01	4.000000000000e+02	7.370758456096e+02
1.046906137466e+01	2.500000000000e+02	7.370758498736e+02
1.048896670341e+01	2.000000000000e+02	7.370758548137e+02
1.050986099243e+01	2.000000000000e+02	7.370758609286e+02
1.052914834023e+01	1.000000000000e+02	7.370758622059e+02
1.054909729958e+01	1.500000000000e+02	7.370758650963e+02
1.056906390190e+01	3.000000000000e+02	7.370758709590e+02
1.058828783035e+01	1.500000000000e+02	7.370758780507e+02
1.060883069038e+01	2.500000000000e+02	7.370758820640e+02
1.062917113304e+01	1.500000000000e+02	7.370758820640e+02
1.064911603928e+01	2.000000000000e+02	7.370758868657e+02
1.066905260086e+01	2.000000000000e+02	7.370758921966e+02
1.068928909302e+01	1.000000000000e+02	7.370758982806e+02
1.070925951004e+01	5.000000000000e+01	7.370759048855e+02
1.072920632362e+01	1.500000000000e+02	7.370759120059e+02
1.074897551537e+01	1.500000000000e+02	7.370759121970e+02
1.076906299591e+01	1.500000000000e+02	7.370759170729e+02
1.078926062584e+01	2.000000000000e+02	7.370759219755e+02
1.080839085579e+01	2.000000000000e+02	7.370759227157e+02
1.082895612717e+01	3.500000000000e+02	7.370759279433e+02
1.084897542000e+01	2.000000000000e+02	7.370759333412e+02
1.086898422241e+01	1.000000000000e+02	7.370759402268e+02
1.088905310631e+01	0.000000000000e+00	7.370759469329e+02
1.090827035904e+01	1.500000000000e+02	7.370759531854e+02
1.092880249023e+01	2.500000000000e+02	7.370759592292e+02
1.094910073280e+01	1.500000000000e+02	7.370759635603e+02
1.096906614304e+01	5.000000000000e+01	7.370759635603e+02
1.098835873604e+01	2.500000000000e+02	7.370759684163e+02
1.100921416283e+01	1.000000000000e+02	7.370759754828e+02
1.102918553352e+01	5.000000000000e+01	7.370759824879e+02
1.104926300049e+01	1.000000000000e+02	7.370759842330e+02
1.106895899773e+01	2.000000000000e+02	7.370759850324e+02
1.108910584450e+01	5.000000000000e+01	7.370759903282e+02
1.110894942284e+01	5.000000000000e+01	7.370759916984e+02
1.112901759148e+01	0.000000000000e+00	7.370759912686e+02
1.114919757843e+01	1.000000000000e+02	7.370759912686e+02
1.116906690598e+01	2.500000000000e+02	7.370759890781e+02
1.118855619431e+01	2.000000000000e+02	7.370759853416e+02
1.120929002762e+01	3.000000000000e+02	7.370759798639e+02
1.122909283638e+01	0.000000000000e+00	7.370759775604e+02
1.124904084206e+01	2.000000000000e+02	7.370759775604e+02
1.126925134659e+01	1.000000000000e+02	7.370759718173e+02
1.128909850121e+01	5.000000000000e+01	7.370759662812e+02
1.130981492996e+01	1.000000000000e+02	7.370759610246e+02
1.132927751541e+01	3.500000000000e+02	7.370759597596e+02
1.134888410568e+01	5.000000000000e+01	7.370759575315e+02
1.136885356903e+01	0.000000000000e+00	7.370759511587e+02
