#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h59m28s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:58min:46s
#Stop Time (s): 02.12.2022 16h:59min:28s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
2.915758442879e+01	4.150000000000e+03	7.370379733841e+02
2.917798185349e+01	4.900000000000e+03	7.370379707747e+02
2.919790554047e+01	5.350000000000e+03	7.370379693741e+02
2.921813488007e+01	5.150000000000e+03	7.370379680708e+02
2.923738145828e+01	4.250000000000e+03	7.370379659399e+02
2.925774741173e+01	4.750000000000e+03	7.370379628411e+02
2.927773332596e+01	5.050000000000e+03	7.370379589992e+02
2.929798817635e+01	4.450000000000e+03	7.370379566696e+02
2.931793475151e+01	3.600000000000e+03	7.370379541491e+02
2.933740019798e+01	4.500000000000e+03	7.370379513578e+02
2.935774111748e+01	1.850000000000e+03	7.370379484227e+02
2.937809133530e+01	4.350000000000e+03	7.370379465125e+02
2.939806056023e+01	5.800000000000e+03	7.370379461406e+02
2.941801261902e+01	2.950000000000e+03	7.370379436603e+02
2.943793082237e+01	3.700000000000e+03	7.370379411235e+02
2.945787811279e+01	5.200000000000e+03	7.370379384398e+02
2.947784686089e+01	4.250000000000e+03	7.370379355367e+02
2.949779367447e+01	4.100000000000e+03	7.370379331588e+02
2.951774024963e+01	5.850000000000e+03	7.370379331588e+02
2.953768682480e+01	4.900000000000e+03	7.370379308952e+02
2.955763435364e+01	3.950000000000e+03	7.370379280693e+02
2.957758140564e+01	5.500000000000e+03	7.370379252865e+02
2.959753298759e+01	2.600000000000e+03	7.370379224287e+02
2.961745142937e+01	2.000000000000e+03	7.370379195150e+02
2.963742518425e+01	4.650000000000e+03	7.370379163645e+02
2.965734338760e+01	4.450000000000e+03	7.370379146189e+02
2.967731833458e+01	2.950000000000e+03	7.370379146189e+02
2.969723677635e+01	4.750000000000e+03	7.370379118193e+02
2.971720767021e+01	4.000000000000e+03	7.370379089373e+02
2.973715806007e+01	4.300000000000e+03	7.370379064916e+02
2.975807428360e+01	5.900000000000e+03	7.370379032935e+02
