#Saved Data from the class wavemeter_logger_logic on 09.11.2022 at 10h13m06s.
#
#Parameters:
#===========
#
#Start Time (s): 09.11.2022 10h:10min:09s
#Stop Time (s): 09.11.2022 10h:13min:06s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
2.759225964546e+01	4.000000000000e+02	7.369873385630e+02
2.761163711548e+01	5.000000000000e+01	7.369873475519e+02
2.763226103783e+01	1.500000000000e+02	7.369873571611e+02
2.765220189095e+01	1.000000000000e+02	7.369873663202e+02
2.767221593857e+01	1.500000000000e+02	7.369873752234e+02
2.769225955009e+01	5.000000000000e+02	7.369873847613e+02
2.771221113205e+01	2.000000000000e+02	7.369873944788e+02
2.773226094246e+01	1.500000000000e+02	7.369874041365e+02
2.775179457664e+01	3.500000000000e+02	7.369874134362e+02
2.777223873138e+01	1.000000000000e+02	7.369874225166e+02
2.779274773598e+01	5.000000000000e+01	7.369874303143e+02
2.781260108948e+01	5.000000000000e+01	7.369874405108e+02
2.783225727081e+01	3.000000000000e+02	7.369874526871e+02
2.785221934319e+01	1.500000000000e+02	7.369874623072e+02
2.787149000168e+01	1.500000000000e+02	7.369874721083e+02
2.789227581024e+01	2.500000000000e+02	7.369874823426e+02
2.791165637970e+01	3.000000000000e+02	7.369874909977e+02
2.793305158615e+01	2.500000000000e+02	7.369875007306e+02
2.795190000534e+01	0.000000000000e+00	7.369875093765e+02
2.797222137451e+01	1.500000000000e+02	7.369875187568e+02
2.799228620529e+01	1.000000000000e+02	7.369875243865e+02
2.801160025597e+01	1.500000000000e+02	7.369875243865e+02
2.803209352493e+01	1.500000000000e+02	7.369875327241e+02
2.805222272873e+01	2.000000000000e+02	7.369875459874e+02
2.807193660736e+01	1.000000000000e+02	7.369875669971e+02
2.809227824211e+01	1.000000000000e+02	7.369875782365e+02
2.811164975166e+01	3.000000000000e+02	7.369875863198e+02
2.813212037086e+01	5.000000000000e+01	7.369875928043e+02
2.815216994286e+01	2.500000000000e+02	7.369875994903e+02
