W,I,ESTS,EETS
724.54548107022867,603,29209,1029209
724.56010130721074,597,29209,1029209
724.57472088290524,599,29209,1029209
724.58933979723838,595,29209,1029209
724.6039580501357,595,29209,1029209
724.61857564152365,598,29209,1029209
724.633192571328,598,29209,1029209
724.64780883947435,597,29209,1029209
724.66242444588943,595,29209,1029209
724.67703939049863,603,29209,1029209
724.69165367322819,600,29209,1029209
724.70626729400408,595,29209,1029209
724.72088025275264,598,29209,1029209
724.73549254939928,596,29209,1029209
724.75010418387058,597,29209,1029209
724.76471515609228,596,29209,1029209
724.77932546599072,599,29209,1029209
724.79393511349178,601,29209,1029209
724.80854409852157,596,29209,1029209
724.82315242100628,603,29209,1029209
724.83776008087193,596,29209,1029209
724.85236707804449,595,29209,1029209
724.86697341245042,597,29209,1029209
724.88157908401558,607,29209,1029209
724.8961840926662,596,29209,1029209
724.9107884383285,598,29209,1029209
724.92539212092856,598,29209,1029209
724.93999514039228,599,29209,1029209
724.95459749664633,594,29209,1029209
724.9691991896168,599,29209,1029209
724.98380021922958,598,29209,1029209
724.9984005854111,597,29209,1029209
725.0130002880876,593,29209,1029209
725.027599327185,599,29209,1029209
725.04219770263,592,29209,1029209
725.0567954143487,602,29209,1029209
725.071392462267,605,29209,1029209
725.08598884631158,599,29209,1029209
725.10058456640866,605,29209,1029209
725.11517962248411,604,29209,1029209
725.12977401446472,597,29209,1029209
725.1443677422767,599,29209,1029209
725.15896080584616,602,29209,1029209
725.17355320509955,601,29209,1029209
725.18814493996308,601,29209,1029209
725.20273601036331,604,29209,1029209
725.21732641622634,598,29209,1029209
725.23191615747874,595,29209,1029209
725.24650523404671,601,29209,1029209
725.2610936458567,598,29209,1029209
725.275681392835,598,29209,1029209
725.2902684749082,598,29209,1029209
725.3048548920026,595,29209,1029209
725.31944064404456,596,29209,1029209
725.33402573096055,594,29209,1029209
725.348610152677,600,29209,1029209
725.36319390912035,593,29209,1029209
725.377777000217,601,29209,1029209
725.39235942589346,596,29209,1029209
725.40694118607621,599,29209,1029209
725.42152228069176,604,29209,1029209
725.43610270966644,597,29209,1029209
725.45068247292716,605,29209,1029209
725.46526157039989,599,29209,1029209
725.47984000201143,599,29209,1029209
725.49441776768822,594,29209,1029209
725.50899486735682,602,29209,1029209
725.52357130094379,601,29209,1029209
725.53814706837591,590,29209,1029209
725.5527221695794,600,29209,1029209
725.56729660448082,595,29209,1029209
725.581870373007,595,29209,1029209
725.59644347508424,593,29209,1029209
725.61101591063948,598,29209,1029209
725.62558767959911,599,29209,1029209
725.64015878188991,603,29209,1029209
725.65472921743856,599,29209,1029209
725.66929898617127,599,29209,1029209
725.683868088015,591,29209,1029209
725.69843652289637,598,29209,1029209
725.71300429074222,602,29209,1029209
725.727571391479,595,29209,1029209
725.74213782503341,599,29209,1029209
725.75670359133221,596,29209,1029209
725.77126869030212,601,29209,1029209
725.78583312186981,603,29209,1029209
725.800396885962,604,29209,1029209
725.81495998250546,600,29209,1029209
725.829522411427,595,29209,1029209
725.8440841726532,600,29209,1029209
725.85864526611113,604,29209,1029209
725.87320569172709,595,29209,1029209
725.88776544942812,604,29209,1029209
725.9023245391412,596,29209,1029209
725.91688296079292,595,29209,1029209
725.93144071431,604,29209,1029209
725.94599779961936,600,29209,1029209
725.96055421664789,591,29209,1029209
725.97510996532242,602,29209,1029209
725.98966504556984,595,29209,1029209
726.00421945731682,603,29209,1029209
726.01877320049039,597,29209,1029209
726.03332627501732,600,29209,1029209
726.04787868082462,595,29209,1029209
726.0624304178391,603,29209,1029209
726.07698148598774,599,29209,1029209
726.09153188519713,605,29209,1029209
726.10608161539471,594,29209,1029209
726.12063067650718,598,29209,1029209
726.13517906846141,599,29209,1029209
726.14972679118443,598,29209,1029209
726.164273844603,602,29209,1029209
726.17882022864455,608,29209,1029209
726.19336594323556,595,29209,1029209
726.20791098830352,597,29209,1029209
726.222455363775,594,29209,1029209
726.23699906957722,594,29209,1029209
726.2515421056371,599,29209,1029209
726.26608447188164,592,29209,1029209
726.2806261682382,599,29209,1029209
726.29516719463345,597,29209,1029209
726.30970755099463,601,29209,1029209
726.32424723724887,596,29209,1029209
726.33878625332284,602,29209,1029209
726.35332459914412,601,29209,1029209
726.36786227463972,597,29209,1029209
726.38239927973643,599,29209,1029209
726.39693561436184,597,29209,1029209
726.4114712784426,601,29209,1029209
726.42600627190609,599,29209,1029209
726.44054059467942,599,29209,1029209
726.45507424668972,596,29209,1029209
726.46960722786423,598,29209,1029209
726.48413953813008,596,29209,1029209
726.49867117741451,596,29209,1029209
726.51320214564464,599,29209,1029209
726.52773244274761,599,29209,1029209
726.54226206865076,593,29209,1029209
726.55679102328111,598,29209,1029209
726.57131930656612,601,29209,1029209
726.58584691843294,596,29209,1029209
726.60037385880889,596,29209,1029209
726.614900127621,594,29209,1029209
726.629425724797,602,29209,1029209
726.6439506502636,594,29209,1029209
726.65847490394856,597,29209,1029209
726.67299848577875,598,29209,1029209
726.68752139568187,593,29209,1029209
726.70204363358494,603,29209,1029209
726.71656519941553,599,29209,1029209
726.73108609310077,599,29209,1029209
726.74560631456814,592,29209,1029209
726.760125863745,597,29209,1029209
726.77464474055864,600,29209,1029209
726.78916294493638,599,29209,1029209
726.80368047680565,596,29209,1029209
726.818197336094,596,29209,1029209
726.8327135227288,604,29209,1029209
726.84722903663715,594,29209,1029209
726.86174387774679,599,29209,1029209
726.87625804598508,598,29209,1029209
726.89077154127949,600,29209,1029209
726.90528436355726,597,29209,1029209
726.9197965127463,599,29209,1029209
726.93430798877353,599,29209,1029209
726.94881879156674,602,29209,1029209
726.96332892105352,595,29209,1029209
726.97783837716111,597,29209,1029209
726.9923471598172,597,29209,1029209
727.00685526894915,595,29209,1029209
727.02136270448477,596,29209,1029209
727.03586946635107,600,29209,1029209
727.0503755544762,598,29209,1029209
727.06488096878752,597,29209,1029209
727.07938570921226,600,29209,1029209
727.09388977567846,596,29209,1029209
727.10839316811359,591,29209,1029209
727.122895886445,595,29209,1029209
727.13739793060051,599,29209,1029209
727.15189930050781,603,29209,1029209
727.16639999609436,598,29209,1029209
727.18090001728774,605,29209,1029209
727.19539936401566,594,29209,1029209
727.20989803620591,591,29209,1029209
727.22439603378609,599,29209,1029209
727.23889335668389,600,29209,1029209
727.25339000482677,601,29209,1029209
727.26788597814277,593,29209,1029209
727.28238127655925,599,29209,1029209
727.29687590000412,598,29209,1029209
727.31136984840509,592,29209,1029209
727.32586312169008,600,29209,1029209
727.34035571978632,599,29209,1029209
727.35484764262208,598,29209,1029209
727.36933889012482,595,29209,1029209
727.38382946222237,594,29209,1029209
727.39831935884251,602,29209,1029209
727.41280857991308,599,29209,1029209
727.42729712536186,600,29209,1029209
727.44178499511668,604,29209,1029209
727.45627218910533,590,29209,1029209
727.47075870725575,600,29209,1029209
727.48524454949552,598,29209,1029209
727.49972971575255,597,29209,1029209
727.51421420595489,595,29209,1029209
727.52869802003045,594,29209,1029209
727.54318115790682,598,29209,1029209
727.55766361951191,599,29209,1029209
727.57214540477389,595,29209,1029209
727.58662651362056,593,29209,1029209
727.60110694597961,594,29209,1029209
727.61558670177919,602,29209,1029209
727.63006578094723,597,29209,1029209
727.64454418341154,597,29209,1029209
727.65902190910037,594,29209,1029209
727.67349895794132,594,29209,1029209
727.68797532986252,603,29209,1029209
727.702451024792,594,29209,1029209
727.71692604265763,600,29209,1029209
727.73140038338749,592,29209,1029209
727.74587404690965,595,29209,1029209
727.76034703315213,600,29209,1029209
727.77481934204286,598,29209,1029209
727.78929097350988,599,29209,1029209
727.80376192748133,599,29209,1029209
727.81823220388526,603,29209,1029209
727.83270180264969,597,29209,1029209
727.84717072370279,597,29209,1029209
727.86163896697258,601,29209,1029209
727.876106532387,598,29209,1029209
727.8905734198745,599,29209,1029209
727.905039629363,600,29209,1029209
727.91950516078066,599,29209,1029209
727.9339700140556,592,29209,1029209
727.948434189116,600,29209,1029209
727.96289768589008,591,29209,1029209
727.97736050430581,592,29209,1029209
727.99182264429157,590,29209,1029209
728.00628410577553,602,29209,1029209
728.02074488868573,600,29209,1029209
728.03520499295041,594,29209,1029209
728.049664418498,597,29209,1029209
728.06412316525666,594,29209,1029209
728.0785812331543,595,29209,1029209
728.09303862211971,595,29209,1029209
728.1074953320807,590,29209,1029209
728.12195136296577,599,29209,1029209
728.136406714703,597,29209,1029209
728.15086138722074,591,29209,1029209
728.16531538044751,599,29209,1029209
728.17976869431141,596,29209,1029209
728.19422132874081,591,29209,1029209
728.208673283664,601,29209,1029209
728.22312455900931,599,29209,1029209
728.23757515470516,594,29209,1029209
728.25202507067979,601,29209,1029209
728.26647430686171,601,29209,1029209
728.28092286317906,595,29209,1029209
728.29537073956055,595,29209,1029209
728.30981793593435,596,29209,1029209
728.32426445222893,596,29209,1029209
728.33871028837268,596,29209,1029209
728.35315544429409,594,29209,1029209
728.36759991992142,596,29209,1029209
728.38204371518327,600,29209,1029209
728.396486830008,589,29209,1029209
728.4109292643243,597,29209,1029209
728.42537101806033,601,29209,1029209
728.43981209114463,594,29209,1029209
728.45425248350591,595,29209,1029209
728.46869219507255,599,29209,1029209
728.48313122577292,597,29209,1029209
728.49756957553564,593,29209,1029209
728.51200724428952,606,29209,1029209
728.52644423196261,595,29209,1029209
728.54088053848386,599,29209,1029209
728.55531616378141,600,29209,1029209
728.56975110778433,590,29209,1029209
728.584185370421,598,29209,1029209
